类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
深创业板,上海市,市辖区,奉贤区,雪榕生物,310120,上海雪榕生物科技股份有限公司,种植业与林业,2513,27.33,300511,上海市奉贤区汇丰西路1487号,上海市奉贤区汇丰西路1487号,www.xuerong.com,12/7/1997,5/4/2016
深创业板,浙江省,杭州市,拱墅区,中亚股份,330105,杭州中亚机械股份有限公司,专用设备,1579,29.59,300512,浙江省杭州市拱墅区方家埭路189号,浙江省杭州市拱墅区方家埭路189号,www.zhongyagroup.com,2/7/1999,5/26/2016
深创业板,北京市,市辖区,海淀区,恒实科技,110108,北京恒泰实达科技股份有限公司,通信服务,2255,23.59,300513,北京市海淀区林风二路39号院1号楼11层1101,北京市海淀区林风二路39号院1号楼9-11层,www.techstar.com.cn,6/26/2000,5/30/2016
深创业板,广东省,深圳市,南山区,友讯达,440305,深圳友讯达科技股份有限公司,电网设备,584,29.34,300514,广东省深圳市南山区桃源街道龙光社区龙珠三路光前工业区6栋3层,广东省深圳市南山区桃源街道龙光社区龙珠三路光前工业区6栋3层,www.friendcom.com,9/3/2002,4/26/2017
深创业板,湖南省,长沙市,岳麓区,三德科技,430104,湖南三德科技股份有限公司,通用设备,681,31.81,300515,湖南省长沙市岳麓区高新开发区桐梓坡西路558号,湖南省长沙市岳麓区高新开发区桐梓坡西路558号,www.sandegroup.com,4/6/2004,6/8/2016
深创业板,湖北省,武汉市,江夏区,久之洋,420115,湖北久之洋红外系统股份有限公司,其他电子,396,55.12,300516,湖北省武汉市江夏区庙山开发区明泽街9号,湖北省武汉市江夏区庙山开发区明泽街9号,www.hbjir.com,4/26/2001,6/2/2016
深创业板,湖北省,武汉市,江夏区,海波重科,420115,海波重型工程科技股份有限公司,建筑装饰,164,19.72,300517,湖北省武汉市江夏区郑店街黄金桥工业园6号,湖北省武汉市江夏区郑店街黄金桥工业园6号,www.haiod.com,4/10/1997,7/19/2016
深创业板,广西壮族自治区,南宁市,良庆区,新迅达,450108,广西新迅达科技集团股份公司,互联网电商,172,19.14,300518,广西壮族自治区南宁市良庆区中国(广西)自由贸易试验区南宁片区宋厢路15号兴业银行大厦二十一层,广东省深圳市福田区福田街道福安社区福华一路1号深圳大中华国际交易广场2501,www.gamexun.com,12/27/2006,6/24/2016
深创业板,浙江省,绍兴市,嵊州市,新光药业,330683,浙江新光药业股份有限公司,中药,316,21.76,300519,浙江省绍兴市嵊州市剡湖街道环城西路25号,浙江省绍兴市嵊州市剡湖街道环城西路25号,www.xgpharma.com,11/17/1998,6/24/2016
深创业板,安徽省,合肥市,蜀山区,科大国创,340104,科大国创软件股份有限公司,软件开发,4498,63.42,300520,安徽省合肥市蜀山区高新区文曲路355号,安徽省合肥市蜀山区高新区文曲路355号,www.kdgcsoft.com,11/5/2000,7/8/2016
深创业板,广东省,广州市,黄埔区,爱司凯,440112,爱司凯科技股份有限公司,专用设备,242,30.66,300521,广东省广州市黄埔区工业园红卫路15号,广东省广州市越秀区东风东路745号东山紫园商务大厦1505房,www.amsky.com,12/17/2006,7/5/2016
深创业板,江苏省,苏州市,昆山市,世名科技,320583,苏州世名科技股份有限公司,化学制品,561,42.11,300522,江苏省苏州市昆山市周市镇黄浦江北路219号,江苏省苏州市昆山市周市镇黄浦江北路219号,www.smcolor.com.cn,12/10/2001,7/5/2016
深创业板,北京市,市辖区,海淀区,辰安科技,110108,北京辰安科技股份有限公司,IT服务,1860,45.48,300523,北京市海淀区丰秀中路3号院1号楼-1至5层305,北京市海淀区永丰产业基地丰秀中路3号院1号楼,www.gsafety.com,11/20/2005,7/26/2016
深创业板,福建省,福州市,闽侯县,博思软件,350121,福建博思软件股份有限公司,软件开发,5848,116.25,300525,福建省福州市闽侯县上街镇高新大道5号,福建省福州市闽侯县上街镇海西高新科技产业园高新大道5号,www.bosssoft.com.cn,9/4/2001,7/26/2016
深创业板,湖北省,武汉市,江夏区,中船应急,420115,中国船舶重工集团应急预警与救援装备股份有限公司,军工装备,1099,75.29,300527,湖北省武汉市江夏区庙山开发区阳光大道5号,湖北省武汉市江夏区庙山开发区阳光大道5号,www.china-huazhou.com,12/26/2007,8/5/2016
深创业板,江苏省,南京市,栖霞区,幸福蓝海,320113,幸福蓝海影视文化集团股份有限公司,影视院线,1099,30.29,300528,江苏省南京市栖霞区元化路8号28幢,江苏省南京市栖霞区元化路8号28幢,www.omnijoi.com,11/17/2005,8/8/2016
深创业板,广东省,珠海市,香洲区,健帆生物,440402,健帆生物科技集团股份有限公司,医疗器械,2797,176.57,300529,广东省珠海市香洲区高新区科技六路98号,广东省珠海市香洲区高新区科技六路98号,www.jafron.com,12/18/1989,8/2/2016
深创业板,湖南省,衡阳市,祁东县,领湃科技,430426,湖南领湃科技集团股份有限公司,电池,320,43.88,300530,湖南省衡阳市祁东县归阳工业园金威路,湖南省衡阳市祁东县归阳工业园金威路,www.dzpower.com,12/11/2002,8/9/2016
深创业板,广东省,深圳市,南山区,优博讯,440305,深圳市优博讯科技股份有限公司,计算机设备,1373,47.91,300531,广东省深圳市南山区粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区粤海街道学府路63号高新区联合总部大厦36楼,www.urovo.com,1/25/2006,8/9/2016
深创业板,广东省,深圳市,龙岗区,今天国际,440307,深圳市今天国际物流技术股份有限公司,IT服务,982,51.59,300532,广东省深圳市龙岗区宝龙街道宝龙社区翠宝路今天国际办公楼101,广东省深圳市龙岗区宝龙街道翠宝路26号,www.nti56.com,10/18/2000,8/18/2016
深创业板,广东省,深圳市,南山区,冰川网络,440305,深圳冰川网络股份有限公司,游戏,1952,50.09,300533,广东省深圳市南山区粤海街道滨海社区高新南十道63号高新区联合总部大厦15层,广东省深圳市南山区粤海街道滨海社区高新南十道63号高新区联合总部大厦15层,www.q1.com,1/20/2008,8/18/2016
深创业板,甘肃省,兰州市,榆中县,陇神戎发,620123,甘肃陇神戎发药业股份有限公司,中药,634,27.91,300534,甘肃省兰州市榆中县定远镇国防路10号,甘肃省兰州市榆中县定远镇国防路10号,www.lsrfzy.com,6/2/2002,9/13/2016
