2017.11.16-11:20:56 ['屈臣氏(沃尔玛店)', '31.880415', '117.315779', '安徽省合肥市瑶海区胜利路196号']
2017.11.16-11:20:57 ['大润发(中环店)', '31.7872', '117.214953', '安徽省合肥市蜀山区纬二路']
2017.11.16-11:20:57 ['大润发(合肥店)', '31.877902', '117.257597', '安徽省合肥市蜀山区清溪路西1号']
2017.11.16-11:20:57 ['大润发(望江店)', '31.831883', '117.318759', '安徽省合肥市包河区望江东路']
2017.11.16-11:20:58 ['大润发(阜阳北路店)', '31.89913', '117.292059', '安徽省合肥市庐阳区荣事达大道647号']
2017.11.16-11:20:58 ['大润发(金寨南路店)', '31.73137', '117.169153', '安徽省合肥市肥西县青年路']
2017.11.16-11:20:58 ['大润发建材', '31.877452', '117.434115', '安徽省合肥市肥东县S331辅路']
2017.11.16-11:20:59 ['麦德龙(合肥包河商场店)', '31.818017', '117.294274', '安徽省合肥市包河区庐州大道']
2017.11.16-11:21:00 ['家乐福便利店', '31.149637', '118.5738', '安徽省芜湖市芜湖县荆江西路94号']
2017.11.16-11:21:00 ['零食多(润地家乐福店)', '31.30764', '118.38695', '安徽省芜湖市弋江区九华南路']
2017.11.16-11:21:00 ['大光明眼镜(家乐福店)', '31.30764', '118.38695', '安徽省芜湖市弋江区九华南路']
2017.11.16-11:21:01 ['沃尔玛(中山北路分店)', '31.344872', '118.374258', '安徽省芜湖市镜湖区中山北路79号']
2017.11.16-11:21:01 ['沃尔玛(出入口)', '31.320227', '118.378926', '安徽省芜湖市弋江区新时代商业街149号']
2017.11.16-11:21:02 ['大润发(芜湖店)', '31.342209', '118.39136', '安徽省芜湖市镜湖区华亿商业街']
2017.11.16-11:21:02 ['大润发(迎宾大道店)', '31.150053', '118.589703', '安徽省芜湖市芜湖县迎宾大道']
2017.11.16-11:21:03 ['大润发(繁昌店)', '31.090299', '118.212134', '安徽省芜湖市繁昌县迎春路65号']
2017.11.16-11:21:03 ['大润发时代超市', '31.059236', '118.116947', '安徽省芜湖市繁昌县西环路']
2017.11.16-11:21:04 ['麦德龙(芜湖商场店)', '31.323747', '118.426581', '安徽省芜湖市弋江区利民东路']
2017.11.16-11:21:05 ['家乐福(湖东店)', '31.689001', '118.515756', '安徽省马鞍山市花山区香林路']
2017.11.16-11:21:06 ['大润发', '31.689969', '118.495152', '安徽省马鞍山市雨山区湖南路46号']
2017.11.16-11:21:06 ['大润发(马鞍山市花山店)', '31.706124', '118.522108', '安徽省马鞍山市花山区湖北东路479号']
2017.11.16-11:21:08 ########### except 1 ######################
2017.11.16-11:21:08 ########### except 2 ######################
2017.11.16-11:21:08 ########### except 2 ######################
2017.11.16-11:21:09 ########### except 2 ######################
