销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
247615 ,31501 ,12.7%,杭州市,富阳市,富春环保,浙江富春江环保热电股份有限公司,电力（IV）,富春环保(002479),浙江省富阳市灵桥镇春永路188号,浙江省富阳市灵桥镇春永路188号,www.zhefuet.com,2010/9/21
189104 ,31497 ,16.7%,台州市,临海市,永太科技,浙江永太科技股份有限公司,特种化工品,永太科技(002326),浙江省化学原料药基地临海园区东海第五大道1号,浙江省化学原料药基地临海园区,www.yongtaitech.com,2009/12/22
118579 ,31447 ,26.5%,杭州市,萧山区,金科文化,浙江金科文化产业股份有限公司,通用化工品,金科文化(300459),浙江省杭州湾上虞经济技术开发区,浙江省杭州市萧山区钱江世纪城平澜路299号浙江商会大厦36层,www.jinkeculture.com,2015/5/15
309062 ,31368 ,10.1%,台州市,天台县,银轮股份,浙江银轮机械股份有限公司,汽车零配件（IV）,银轮股份(002126),浙江省天台县福溪街道始丰东路8号,浙江省天台县福溪街道交通运输机械工业园区,www.yinlun.com,2007/4/18
165058 ,31350 ,19.0%,杭州市,滨江区,恒生电子,恒生电子股份有限公司,软件,恒生电子(600570),浙江省杭州市滨江区江南大道3588号恒生大厦11层,浙江省杭州市滨江区江南大道3588号恒生大厦,www.hundsun.com,2003/12/16
338989 ,31269 ,9.2%,衢州市,江山市,江山化工,浙江江山化工股份有限公司,特种化工品,江山化工(002061),浙江省江山市景星东路38号,浙江省江山市景星东路38号,www.jiangshanchem.com,2006/8/16
149026 ,31058 ,20.8%,平湖市,经济开发区,荣晟环保,浙江荣晟环保纸业股份有限公司,造纸,荣晟环保(603165),浙江省平湖市经济开发区镇南东路588号,浙江省平湖市经济开发区镇南东路588号,www.rszy.com,2017/1/17
135249 ,30966 ,22.9%,宁波市,国家高新区,宁波韵升,宁波韵升股份有限公司,工业机械,宁波韵升(600366),浙江省宁波市江东民安路348号,浙江省宁波市国家高新区扬帆路1号,www.yunsheng.com,2000/10/30
295148 ,30962 ,10.5%,湖州市,德清县,兔宝宝,德华兔宝宝装饰新材股份有限公司,建材与构件,兔宝宝(002043),浙江省德清县洛舍镇工业区,浙江省德清县武康镇临溪街588号,www.tubaobao.com,2005/5/10
405122 ,30729 ,7.6%,杭州市,下城区,杭州解百,杭州解百集团股份有限公司,百货零售,杭州解百(600814),浙江省杭州市上城区解放路251号,浙江省杭州市下城区环城北路208号坤和中心36-37楼,www.jiebai.com,1994/1/14
817631 ,30377 ,3.7%,台州市,椒江区,海正药业,浙江海正药业股份有限公司,制药,海正药业(600267),浙江省台州市椒江区外沙路46号,浙江省台州市椒江区外沙路46号,www.hisunpharm.com,2000/7/25
107895 ,30373 ,28.2%,嘉兴市,海宁市,兄弟科技,兄弟科技股份有限公司,通用化工品,兄弟科技(002562),浙江省海宁市周王庙镇联民村蔡家石桥3号,浙江省海宁市海洲街道学林街1号,www.brother.com.cn,2011/3/10
234058 ,30015 ,12.8%,绍兴市,诸暨市,露笑科技,露笑科技股份有限公司,有色金属,露笑科技(002617),浙江省诸暨市店口镇露笑路38号,浙江省诸暨市店口镇露笑路38号,www.roshowtech.com,2011/9/20
72347 ,29954 ,41.4%,杭州市,西湖区,钱江水利,钱江水利开发股份有限公司,水务,钱江水利(600283),浙江省杭州市三台山路3号,浙江省杭州市三台山路3号,www.qjwater.com,2000/10/18
117495 ,29795 ,25.4%,杭州市,滨江区,泰格医药,杭州泰格医药科技股份有限公司,医疗保健服务,泰格医药(300347),浙江省杭州市滨江区江南大道618号东冠大厦1502-1,浙江省杭州市滨江区江南大道618号东冠大厦15-16层,www.tigermed.net,2012/8/17
238630 ,29748 ,12.5%,宁波市,海曙区,宁波富达,宁波富达股份有限公司,不动产投资开发,宁波富达(600724),浙江省余姚市阳明西路355号,浙江省宁波市海曙区解放南路208号建设大厦18-19楼,www.fuda.com,1996/7/16
298289 ,29677 ,9.9%,宁波市,宁海县,双林股份,宁波双林汽车部件股份有限公司,汽车零配件（IV）,双林股份(300100),浙江省宁波市宁海县西店镇潢溪口,浙江省宁波市宁海县西店镇潢溪口,www.shuanglin.cn,2010/8/6
227836 ,29249 ,12.8%,温州市,永嘉县瓯北镇东瓯工业区,红蜻蜓,江红蜻蜓鞋业股份有限公司,鞋类,红蜻蜓(603116),浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,浙江省温州市永嘉县瓯北镇东瓯工业区王家圩路,www.cnhqt.com,2015/6/29
635361 ,29054 ,4.6%,杭州市,西湖区,南都电源,浙江南都电源动力股份有限公司,电子电气组件与设备,南都电源(300068),浙江省临安市青山湖街道景观大道72号,浙江省杭州市紫荆花路50号A座9楼,www.naradapower.com,2010/4/21
